"Reference","Value","Qty","DNP","Supplier Part Number","Manufacturer Part Number","Supplier "
"A1","Arduino_Nano_v3.x","1","","1848691","A000005","Element 14"
"BT1","Battery Holder","1","","1650685","2478","Element 14"
"D1","LED_BKGR","1",""," 2290374"," L-154A4SURKQBDZGW","Element 14"
"D2,D3,D4","LED","3","","1581138"," MCL053GD","Element 14"
"D5,D9,D10","D_Photo","3","","1212743","SFH203-FA","Element 14"
"D6,D7,D8","IR LED","3","","1716710","OFL-5102","Element 14"
"J1,J2","Conn_01x03_Pin","2",""," 1593412","2211S-03G","Element 14"
"J3","Conn_01x04_Pin","1","","1593413","2211S-04G","Element 14"
"J4","Conn_01x02_Pin","1","","NA","NA","NA"
"R1,R2","10k","2","","9339060","MCF 0.25W 10K","Element 14"
"R3,R4,R5","330R","3","","9341730","MF25 330R","Element 14"
"R6","150R","1","","9339175","MCF 0.25W 150R","Element 14"
"R7,R8,R10,R11,R12","100R","5","","9339043","MCF 0.25W 100R","Element 14"
"R9,R13,R14","100k","3","","9341129","MF25 100K","Element 14"
"SW1,SW2","SW_Push","2","","2456210","1825910-6","Element 14"
"SW3","Switch","1","","4050998","EG1271","Element 14"
"U1,U2","~","2","","3359812","MP-708-0002","Element 14"
